,unnamed: 0,customer,state,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,month
1391,1391,QL80658,Arizona,3934.712712,No,Extended,High School or Below,2011-01-20,Employed,M,84229,Suburban,Married,98,25.0,20,0.0,1,Personal Auto,Personal L3,Offer4,Branch,470.4,,,,1
1392,1392,PN18507,Arizona,14042.103,No,Premium,Bachelor,2011-01-06,Employed,M,88854,Suburban,Single,118,6.0,50,0.0,2,Personal Auto,Personal L2,Offer1,Branch,715.252366,Two-Door Car,Medsize,,1
1393,1393,HC42288,California,4563.018085,No,Basic,College,2011-02-10,Employed,F,39187,Suburban,Divorced,118,32.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Agent,566.4,SUV,Small,,2
1394,1394,HE60335,Washington,3939.00637,Yes,Extended,Bachelor,2011-01-28,Employed,F,60021,Suburban,Married,99,12.0,28,0.0,1,Corporate Auto,Corporate L1,Offer2,Agent,882.871945,Four-Door Car,Small,,1
1395,1395,CA56041,Nevada,9120.065162,No,Basic,College,2011-02-16,Employed,F,63878,Urban,Married,113,32.0,47,0.0,9,Personal Auto,Personal L3,Offer3,Call Center,370.285349,SUV,Small,A,2
1396,1396,DZ85842,California,8105.81483,No,Basic,High School or Below,2011-02-27,Retired,M,17920,Suburban,Married,72,14.0,53,0.0,2,Personal Auto,Personal L1,Offer1,Branch,424.375364,Four-Door Car,Medsize,,2
1397,1397,HN57556,California,7292.948758,No,Basic,High School or Below,2011-02-17,Unemployed,F,0,Suburban,Single,65,6.0,45,0.0,2,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,A,2
1398,1398,ZL18631,Arizona,2539.990699,No,Basic,College,2011-02-05,Employed,F,54889,Suburban,Married,63,32.0,94,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,Medsize,,2
1399,1399,LI31082,California,12741.84754,Yes,Basic,Bachelor,2011-01-07,Employed,F,73054,Urban,Married,106,34.0,36,1.0,2,Personal Auto,Personal L2,Offer1,Branch,419.365958,,,A,1
1400,1400,MQ46375,Oregon,15320.21872,No,Basic,Bachelor,2011-01-02,Employed,M,36637,Suburban,Married,192,28.0,52,0.0,3,Corporate Auto,Corporate L2,Offer4,Branch,921.6,Luxury Car,Medsize,A,1
1401,1401,RT29777,Oregon,4439.900652,No,Basic,Bachelor,2011-02-12,Employed,F,88613,Urban,Divorced,111,5.0,59,0.0,1,Personal Auto,Personal L3,Offer1,Branch,359.36848,SUV,Small,,2
1402,1402,UL80763,Oregon,4014.453113,Yes,Extended,Doctor,2011-01-08,Employed,F,37384,Suburban,Married,99,9.0,17,0.0,1,Personal Auto,Personal L2,Offer2,Agent,475.2,Four-Door Car,Medsize,,1
1403,1403,ZB72138,Oregon,8929.611119,No,Basic,Bachelor,2011-01-03,Employed,M,44329,Suburban,Married,112,25.0,58,0.0,3,Personal Auto,Personal L1,Offer2,Agent,537.6,SUV,Medsize,A,1
1404,1404,CS84396,Arizona,4883.117399,No,Basic,Bachelor,2011-01-25,Employed,M,53305,Suburban,Single,63,32.0,73,0.0,4,Corporate Auto,Corporate L2,Offer1,Call Center,302.4,Two-Door Car,Small,,1
1405,1405,VK94354,Oregon,9259.715798,No,Extended,Master,2011-01-08,Unemployed,M,0,Rural,Married,127,11.0,86,0.0,3,Special Auto,Special L2,Offer1,Call Center,22.483259,SUV,Small,,1
1406,1406,JZ22920,Arizona,3225.395988,No,Extended,Master,2011-01-30,Employed,M,29606,Suburban,Married,81,33.0,32,0.0,1,Personal Auto,Personal L3,Offer3,Agent,438.276898,Four-Door Car,Medsize,,1
1407,1407,TU27017,California,6625.28717,No,Extended,Bachelor,2011-02-14,Employed,M,41460,Suburban,Married,83,1.0,54,0.0,4,Personal Auto,Personal L3,Offer3,Branch,398.4,Four-Door Car,Medsize,A,2
1408,1408,RV14138,Nevada,4334.064096,Yes,Extended,Bachelor,2011-02-27,Retired,F,23904,Suburban,Single,123,1.0,67,3.0,1,Personal Auto,Personal L3,Offer1,Agent,590.4,SUV,Medsize,,2
1409,1409,OO35641,Oregon,32871.74779,No,Basic,College,2011-02-05,Employed,F,78487,Urban,Divorced,117,5.0,17,0.0,2,Personal Auto,Personal L3,Offer3,Agent,448.255019,SUV,Medsize,,2
1410,1410,WA63124,Nevada,2113.85703,No,Basic,College,2011-02-25,Unemployed,F,0,Suburban,Single,65,27.0,37,2.0,1,Personal Auto,Personal L1,Offer3,Call Center,468.0,Four-Door Car,Small,A,2
1411,1411,HQ76003,Nevada,12383.5306,No,Basic,High School or Below,2011-01-04,Employed,F,40602,Urban,Single,105,14.0,84,0.0,2,Personal Auto,Personal L3,Offer2,Branch,459.895876,Sports Car,Medsize,A,1
1412,1412,TM61357,Nevada,24610.78085,No,Extended,Bachelor,2011-02-15,Employed,M,72786,Urban,Married,76,10.0,9,0.0,2,Personal Auto,Personal L1,Offer4,Agent,363.845631,Four-Door Car,Medsize,,2
1413,1413,SR71812,California,6473.32562,No,Extended,High School or Below,2011-01-27,Unemployed,F,0,Suburban,Married,88,3.0,99,0.0,6,Personal Auto,Personal L3,Offer1,Agent,468.492761,Four-Door Car,Small,A,1
1414,1414,QA32784,Oregon,4983.178714,No,Extended,Bachelor,2011-02-26,Disabled,M,21497,Suburban,Married,128,31.0,58,0.0,1,Personal Auto,Personal L3,Offer3,Call Center,614.4,Sports Car,Medsize,,2
1415,1415,PP26786,Arizona,2890.338106,No,Basic,College,2011-01-10,Employed,M,51906,Suburban,Married,73,29.0,78,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,374.864662,Four-Door Car,Medsize,,1
1416,1416,AS17174,Oregon,2471.528431,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,1
1417,1417,WG26617,Oregon,9732.584122,No,Extended,Bachelor,2011-02-28,Employed,M,38279,Rural,Married,82,5.0,41,0.0,2,Personal Auto,Personal L3,Offer1,Web,64.396979,Two-Door Car,Medsize,,2
1418,1418,WV53081,Arizona,2597.864075,No,Basic,College,2011-02-14,Employed,F,49308,Rural,Married,65,7.0,97,0.0,1,Corporate Auto,Corporate L1,Offer3,Agent,150.235884,Four-Door Car,Medsize,A,2
1419,1419,GT65478,Oregon,8217.427595,No,Basic,College,2011-01-19,Employed,F,84815,Urban,Married,68,9.0,37,0.0,2,Personal Auto,Personal L1,Offer1,Agent,279.996658,Four-Door Car,Medsize,A,1
1420,1420,WN14473,Arizona,2882.350556,No,Basic,Master,2011-02-17,Employed,M,87798,Urban,Married,71,18.0,73,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,204.448708,Two-Door Car,Medsize,,2
1421,1421,SU32452,Arizona,3241.588659,No,Extended,Bachelor,2011-01-30,Employed,F,89196,Rural,Divorced,81,17.0,52,0.0,1,Personal Auto,Personal L3,Offer1,Agent,41.182611,,,A,1
1422,1422,YK65946,Oregon,8427.172486,Yes,Extended,Bachelor,2011-02-10,Employed,F,46503,Suburban,Divorced,215,4.0,21,1.0,1,Personal Auto,Personal L3,Offer1,Agent,1032.0,Luxury SUV,Medsize,,2
1423,1423,LN50415,Oregon,5131.360525,No,Extended,Bachelor,2011-02-23,Employed,M,50994,Urban,Married,128,16.0,48,0.0,1,Corporate Auto,Corporate L3,Offer2,Web,346.387342,SUV,Medsize,A,2
1424,1424,DL14445,California,10611.56172,No,Extended,College,2011-02-21,Unemployed,F,0,Suburban,Single,96,29.0,5,0.0,2,Personal Auto,Personal L2,Offer3,Branch,949.953253,Four-Door Car,Small,A,2
1425,1425,CA52541,California,3808.122147,Yes,Extended,College,2011-01-28,Employed,F,94903,Suburban,Married,94,3.0,38,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,451.2,Two-Door Car,Small,,1
1426,1426,SL35268,,5453.861203,,Basic,College,2011-01-04,Employed,M,30855,Urban,Married,68,7.0,15,0.0,7,Corporate Auto,Corporate L3,Offer2,Web,259.060862,Four-Door Car,Medsize,,1
1427,1427,GD93408,California,5759.011129,No,Basic,Bachelor,2011-02-26,Employed,F,30968,Rural,Married,74,10.0,89,1.0,8,Corporate Auto,Corporate L2,Offer1,Branch,45.425684,Two-Door Car,Medsize,A,2
1428,1428,TG68823,,5318.89664,,Basic,Bachelor,2011-01-12,Employed,F,25134,Suburban,Married,67,3.0,0,0.0,6,Personal Auto,Personal L3,Offer2,Call Center,321.6,Four-Door Car,Small,,1
1429,1429,EZ20115,California,26305.41541,No,Basic,Bachelor,2011-02-09,Employed,M,35300,Urban,Married,74,14.0,71,0.0,2,Personal Auto,Personal L3,Offer1,Agent,225.518065,Four-Door Car,Medsize,,2
1430,1430,WZ31900,Oregon,8649.700578,No,Basic,Bachelor,2011-01-11,Employed,F,94389,Rural,Married,107,16.0,76,0.0,8,Corporate Auto,Corporate L3,Offer2,Call Center,85.063708,SUV,Medsize,,1
1431,1431,WY26014,California,10819.999,No,Extended,High School or Below,2011-01-19,Employed,F,37433,Urban,Married,90,7.0,18,0.0,2,Personal Auto,Personal L2,Offer1,Agent,410.391616,Four-Door Car,Medsize,,1
1432,1432,ZH35315,California,4900.545112,No,Basic,College,2011-02-19,Disabled,M,22976,Suburban,Married,66,19.0,33,0.0,4,Personal Auto,Personal L2,Offer2,Branch,345.951322,Four-Door Car,Large,,2
1433,1433,RO26233,,2464.707849,,Basic,College,2011-02-25,Employed,F,31056,Suburban,Divorced,63,5.0,46,0.0,1,Personal Auto,Personal L2,Offer3,Agent,302.4,Four-Door Car,Medsize,,2
1434,1434,IW17510,California,7583.962264,No,Basic,High School or Below,2011-02-03,Unemployed,F,0,Suburban,Single,102,27.0,29,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,848.161322,Sports Car,Medsize,A,2
1435,1435,YN10988,California,6314.596813,No,Extended,High School or Below,2011-01-02,Unemployed,M,0,Suburban,Married,87,15.0,46,0.0,6,Personal Auto,Personal L2,Offer2,Web,417.6,Four-Door Car,Medsize,A,1
1436,1436,TF23305,Arizona,3574.990725,No,Extended,College,2011-01-29,Employed,F,51950,Suburban,Married,89,34.0,90,0.0,1,Personal Auto,Personal L3,Offer1,Web,429.171384,Two-Door Car,Large,,1
1437,1437,IR29181,California,9336.123495,No,Premium,High School or Below,2011-02-14,Employed,M,45262,Suburban,Married,117,25.0,32,0.0,7,Corporate Auto,Corporate L2,Offer1,Branch,842.4,Four-Door Car,Small,,2
1438,1438,UK59933,California,5002.093264,No,Basic,College,2011-01-21,Unemployed,M,0,Suburban,Single,70,35.0,56,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,504.0,Four-Door Car,Medsize,,1
1439,1439,ZH28312,California,5560.278162,No,Basic,Bachelor,2011-02-14,Unemployed,F,0,Rural,Married,74,29.0,52,0.0,8,Corporate Auto,Corporate L2,Offer1,Branch,65.953005,Four-Door Car,Medsize,A,2
1440,1440,EN61670,Arizona,5332.462694,Yes,Basic,Doctor,2011-02-22,Employed,F,68931,Urban,Married,66,,30,,7,Personal Auto,Personal L1,Offer2,Branch,309.577946,Four-Door Car,Medsize,,2
1441,1441,TN17395,California,22103.5072,Yes,Basic,College,2011-01-30,Unemployed,M,0,Suburban,Married,102,35.0,48,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,SUV,Medsize,,1
1442,1442,VZ66567,California,3748.14406,No,Basic,Bachelor,2011-01-27,Unemployed,M,0,Suburban,Divorced,106,24.0,27,0.0,1,Personal Auto,Personal L2,Offer1,Branch,508.8,SUV,Large,A,1
1443,1443,BM70908,Arizona,2255.312942,No,Basic,College,2011-01-26,Employed,M,58289,Suburban,Single,62,18.0,92,4.0,1,Personal Auto,Personal L3,Offer1,Agent,297.6,Two-Door Car,Medsize,A,1
1444,1444,TA89713,Oregon,5389.499465,Yes,Extended,College,2011-01-07,Employed,M,66429,Rural,Married,136,35.0,93,0.0,1,Personal Auto,Personal L3,Offer2,Agent,57.712985,Sports Car,Medsize,,1
1445,1445,NM18924,Oregon,30286.68586,No,Basic,High School or Below,2011-02-14,Disabled,F,27587,Rural,Divorced,103,14.0,34,1.0,2,Corporate Auto,Corporate L3,Offer1,Call Center,241.141192,Sports Car,Medsize,,2
1446,1446,MO65595,Nevada,3386.532195,No,Extended,Bachelor,2011-02-10,Unemployed,F,0,Suburban,Married,92,18.0,79,0.0,1,Personal Auto,Personal L3,Offer1,Branch,571.593637,Two-Door Car,Medsize,A,2
1447,1447,FG15154,California,7240.662339,No,Extended,Bachelor,2011-01-23,Employed,M,32818,Suburban,Married,93,17.0,39,0.0,8,Personal Auto,Personal L1,Offer2,Call Center,446.4,,,A,1
1448,1448,FP11025,California,8072.245595,No,Basic,Bachelor,2011-01-10,Employed,F,57938,Urban,Married,101,6.0,36,0.0,3,Special Auto,Special L3,Offer3,Branch,282.458203,SUV,Large,A,1
1449,1449,NT89061,Arizona,6323.923864,No,Extended,High School or Below,2011-01-07,Employed,F,78532,Suburban,Married,78,25.0,87,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,1
1450,1450,SY22123,California,6300.440231,No,Extended,College,2011-01-05,Medical Leave,F,29539,Suburban,Single,85,20.0,83,0.0,7,Personal Auto,Personal L3,Offer1,Agent,408.0,Four-Door Car,Medsize,A,1
1451,1451,ET64028,California,4012.319346,No,Extended,High School or Below,2011-01-18,Employed,F,47221,Suburban,Married,99,8.0,79,0.0,1,Personal Auto,Personal L2,Offer1,Agent,475.2,Two-Door Car,Large,A,1
1452,1452,RV98208,Arizona,4991.035369,No,Basic,College,2011-01-29,Employed,F,54189,Rural,Married,62,11.0,84,0.0,3,Personal Auto,Personal L1,Offer1,Agent,29.035528,Two-Door Car,Medsize,A,1
1453,1453,ET39822,California,8256.2978,Yes,Basic,Bachelor,2011-01-25,Employed,F,62902,Rural,Married,69,14.0,94,0.0,2,Personal Auto,Personal L2,Offer2,Web,159.383042,Two-Door Car,Medsize,A,1
1454,1454,BX20227,Oregon,6521.368813,Yes,Extended,College,2011-01-09,Employed,F,72608,Suburban,Married,82,26.0,19,3.0,8,Personal Auto,Personal L3,Offer2,Agent,393.6,Four-Door Car,Medsize,,1
1455,1455,UU99893,,7689.700105,,Extended,Master,2011-02-04,Employed,F,42677,Suburban,Divorced,96,5.0,20,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1084.95655,Four-Door Car,Small,,2
1456,1456,WN91223,California,11073.10572,No,Extended,Master,2011-01-02,Employed,M,82807,Urban,Divorced,92,15.0,20,0.0,2,Personal Auto,Personal L3,Offer3,Agent,302.458432,Four-Door Car,Medsize,,1
1457,1457,ZV43350,California,4531.366283,No,Premium,Bachelor,2011-02-11,Unemployed,F,0,Suburban,Married,119,30.0,95,0.0,1,Personal Auto,Personal L2,Offer1,Branch,571.2,Four-Door Car,Medsize,,2
1458,1458,TD10493,Oregon,2898.732747,No,Extended,High School or Below,2011-01-26,Unemployed,F,0,Suburban,Single,96,5.0,7,4.0,1,Personal Auto,Personal L2,Offer2,Agent,691.2,Four-Door Car,Medsize,A,1
1459,1459,WL45773,California,2808.606027,No,Basic,Doctor,2011-01-02,Employed,F,83497,Urban,Married,69,28.0,15,0.0,1,Special Auto,Special L2,Offer2,Call Center,196.523187,Four-Door Car,Medsize,,1
1460,1460,NI78185,California,2393.915369,Yes,Basic,College,2011-01-31,Unemployed,M,0,Suburban,Single,70,24.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Branch,425.266308,Four-Door Car,Medsize,,1
1461,1461,BE54454,Washington,5028.575209,No,Basic,High School or Below,2011-01-10,Employed,M,70828,Suburban,Married,62,8.0,18,0.0,4,Personal Auto,Personal L2,Offer2,Branch,297.6,Four-Door Car,Small,,1
1462,1462,IS73434,Arizona,3219.146148,No,Extended,Bachelor,2011-02-26,Employed,F,45892,Suburban,Married,81,1.0,49,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,388.8,Four-Door Car,Medsize,A,2
1463,1463,JZ23377,Oregon,57520.50151,No,Premium,College,2011-01-20,Employed,F,48367,Suburban,Married,161,10.0,34,0.0,2,Personal Auto,Personal L3,Offer2,Branch,772.8,SUV,Medsize,A,1
1464,1464,DA34555,California,3363.004143,No,Extended,College,2011-02-20,Employed,F,80138,Urban,Married,83,3.0,33,0.0,1,Personal Auto,Personal L3,Offer4,Branch,209.427344,Four-Door Car,Medsize,,2
1465,1465,YX15941,Oregon,16229.64891,No,Extended,College,2011-02-12,Employed,M,26030,Suburban,Married,139,25.0,29,1.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,667.2,Sports Car,Medsize,,2
1466,1466,HZ67642,California,8647.139152,No,Basic,Bachelor,2011-02-13,Unemployed,M,0,Rural,Married,119,5.0,31,0.0,3,Personal Auto,Personal L1,Offer4,Web,244.816163,SUV,Small,,2
1467,1467,XG74199,Oregon,9061.767848,No,Basic,College,2011-01-19,Employed,M,37970,Rural,Married,115,8.0,44,0.0,3,Personal Auto,Personal L3,Offer1,Agent,124.967415,SUV,Medsize,A,1
1468,1468,JD15492,Oregon,2446.681538,No,Basic,High School or Below,2011-01-04,Employed,F,44509,Urban,Married,61,8.0,68,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,Medsize,A,1
1469,1469,WK65741,California,2893.806196,No,Basic,High School or Below,2011-02-18,Employed,F,61809,Urban,Married,72,9.0,21,0.0,1,Personal Auto,Personal L2,Offer3,Agent,328.004855,Two-Door Car,Medsize,,2
1470,1470,JS53793,Arizona,2422.194555,No,Basic,Doctor,2011-01-16,Employed,F,25036,Suburban,Married,61,11.0,30,1.0,1,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Large,,1
1471,1471,SV94314,Arizona,13246.56841,No,Premium,Bachelor,2011-02-09,Employed,M,36898,Suburban,Married,169,14.0,36,1.0,3,Personal Auto,Personal L3,Offer3,Branch,811.2,SUV,Medsize,,2
1472,1472,ZV99487,Arizona,6986.603722,No,Extended,Bachelor,2011-01-11,Unemployed,F,0,Rural,Married,93,21.0,8,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,149.269407,Four-Door Car,Medsize,,1
1473,1473,RL97327,Washington,4060.956163,No,Premium,Bachelor,2011-01-17,Unemployed,M,0,Suburban,Married,115,18.0,30,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,699.823461,Four-Door Car,Medsize,,1
1474,1474,FR15942,Washington,3220.775528,No,Extended,Bachelor,2011-01-06,Medical Leave,M,19098,Suburban,Married,87,35.0,3,0.0,1,Personal Auto,Personal L2,Offer2,Branch,417.6,Two-Door Car,Medsize,A,1
1475,1475,TM23788,California,6039.020697,No,Extended,High School or Below,2011-02-09,Unemployed,M,0,Suburban,Divorced,89,6.0,49,1.0,3,Personal Auto,Personal L3,Offer2,Agent,640.8,Four-Door Car,Medsize,A,2
1476,1476,YR34689,California,11318.13083,No,Extended,High School or Below,2011-01-13,Employed,F,79270,Suburban,Married,95,28.0,61,3.0,2,Personal Auto,Personal L1,Offer2,Branch,456.0,Four-Door Car,Medsize,A,1
1477,1477,YP37291,Nevada,7854.771821,No,Basic,High School or Below,2011-02-05,Employed,M,36409,Suburban,Married,66,26.0,33,0.0,2,Personal Auto,Personal L3,Offer1,Branch,316.8,Four-Door Car,Small,A,2
1478,1478,CR76145,California,3885.456401,Yes,Premium,College,2011-02-28,Unemployed,M,0,Suburban,Married,105,3.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,504.0,Four-Door Car,Large,A,2
1479,1479,CW98845,Oregon,2316.796105,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Married,64,2.0,80,0.0,1,Personal Auto,Personal L2,Offer4,Branch,307.2,Four-Door Car,Medsize,A,2
1480,1480,DA61021,California,15167.04402,No,Basic,Master,2011-01-04,Employed,M,40467,Urban,Married,197,1.0,84,3.0,3,Personal Auto,Personal L2,Offer1,Agent,518.78464,Luxury SUV,Medsize,,1
1481,1481,XD21246,Oregon,9238.305998,No,Extended,High School or Below,2011-01-05,Unemployed,F,0,Suburban,Single,128,30.0,26,0.0,5,Personal Auto,Personal L3,Offer1,Agent,921.6,SUV,Medsize,A,1
1482,1482,EY50028,Nevada,3289.547398,No,Extended,Doctor,2011-01-24,Unemployed,M,0,Urban,Married,86,5.0,55,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,398.240791,Two-Door Car,Medsize,A,1
1483,1483,CS29328,Nevada,4875.31604,No,Basic,Bachelor,2011-02-04,Disabled,M,10743,Suburban,Married,70,12.0,64,2.0,8,Personal Auto,Personal L1,Offer3,Branch,336.0,Two-Door Car,Medsize,A,2
1484,1484,MP47256,California,22658.53652,Yes,Basic,Bachelor,2011-01-25,Retired,M,23665,Suburban,Married,67,19.0,50,0.0,2,Personal Auto,Personal L3,Offer1,Branch,404.817249,Four-Door Car,Medsize,A,1
1485,1485,YY27420,Arizona,10507.69496,No,Extended,Bachelor,2011-02-01,Medical Leave,M,20043,Suburban,Married,92,13.0,9,0.0,2,Personal Auto,Personal L1,Offer3,Agent,516.088544,Four-Door Car,Medsize,,2
1486,1486,PA48777,Washington,2491.257604,Yes,Basic,High School or Below,2011-02-12,Medical Leave,F,25965,Suburban,Divorced,65,23.0,27,0.0,1,Personal Auto,Personal L3,Offer1,Agent,329.206567,Four-Door Car,Medsize,A,2
1487,1487,HZ56678,Oregon,2780.196856,No,Basic,High School or Below,2011-01-12,Disabled,F,20261,Suburban,Divorced,72,4.0,55,0.0,1,Personal Auto,Personal L2,Offer4,Web,345.6,Four-Door Car,Large,,1
1488,1488,XE17270,California,3520.696547,No,Extended,High School or Below,2011-02-02,Employed,M,31708,Suburban,Single,94,3.0,43,1.0,1,Personal Auto,Personal L1,Offer1,Agent,451.2,Two-Door Car,Medsize,,2
1489,1489,PR51268,Arizona,4014.453113,Yes,Extended,Doctor,2011-01-08,Employed,F,37384,Suburban,Married,99,9.0,17,0.0,1,Personal Auto,Personal L3,Offer2,Agent,475.2,Four-Door Car,Medsize,,1
1490,1490,TT36693,Nevada,4362.931238,Yes,Premium,College,2011-01-03,Employed,M,58842,Suburban,Married,110,6.0,74,0.0,1,Personal Auto,Personal L2,Offer2,Branch,528.0,Four-Door Car,Medsize,A,1
1491,1491,BS96517,Washington,2375.001798,No,Basic,College,2011-02-05,Employed,F,47455,Urban,Single,61,1.0,61,0.0,1,Personal Auto,Personal L1,Offer1,Agent,278.804991,Four-Door Car,Medsize,A,2
1492,1492,XV30885,California,4595.524548,No,Basic,College,2011-01-25,Employed,M,95550,Urban,Divorced,116,15.0,75,1.0,1,Personal Auto,Personal L3,Offer1,Agent,381.570261,SUV,Medsize,,1
1493,1493,XN50058,California,8767.626534,No,Premium,Doctor,2011-01-21,Employed,M,45484,Suburban,Single,111,31.0,28,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,532.8,Four-Door Car,Medsize,,1
1494,1494,VN22337,California,3274.037562,No,Extended,College,2011-02-07,Employed,F,83869,Urban,Married,81,10.0,23,0.0,1,Personal Auto,Personal L1,Offer1,Agent,348.186032,Four-Door Car,Medsize,A,2
1495,1495,DN67273,Oregon,8028.484649,No,Basic,High School or Below,2011-01-08,Unemployed,F,0,Suburban,Single,74,26.0,84,0.0,2,Personal Auto,Personal L3,Offer1,Agent,532.8,Two-Door Car,Small,A,1
1496,1496,XL90594,,7584.361069,,Extended,College,2011-01-06,Employed,F,87473,Urban,Divorced,95,28.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Web,448.061777,Four-Door Car,Medsize,,1
1497,1497,YA15471,Oregon,7627.660848,No,Basic,College,2011-01-07,Employed,M,93004,Urban,Married,63,31.0,2,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,205.957043,Four-Door Car,Medsize,A,1
1498,1498,PN22481,Oregon,2215.912948,No,Basic,College,2011-01-06,Unemployed,M,0,Suburban,Single,66,21.0,67,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,316.8,Two-Door Car,Medsize,,1
1499,1499,RV22056,Oregon,4971.353586,No,Extended,Bachelor,2011-02-21,Employed,F,98784,Rural,Married,124,7.0,36,1.0,1,Personal Auto,Personal L3,Offer2,Web,155.412984,Sports Car,Medsize,,2
1500,1500,RA61917,Washington,8029.715047,No,Basic,High School or Below,2011-01-24,Employed,F,76081,Suburban,Single,68,14.0,3,0.0,2,Personal Auto,Personal L2,Offer2,Branch,384.210821,Four-Door Car,Medsize,,1
1501,1501,SK69036,California,13780.48818,No,Premium,Bachelor,2011-02-20,Employed,M,25708,Suburban,Divorced,118,21.0,44,0.0,2,Personal Auto,Personal L1,Offer1,Branch,566.4,Four-Door Car,Small,,2
1502,1502,AM89558,Nevada,4636.54647,Yes,Basic,College,2011-01-01,Retired,M,26802,Suburban,Married,66,7.0,43,1.0,5,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,Medsize,A,1
1503,1503,LN99977,California,4061.997378,No,Basic,College,2011-01-27,Employed,F,30061,Suburban,Single,104,4.0,22,0.0,1,Special Auto,Special L2,Offer1,Web,499.2,Sports Car,Large,A,1
1504,1504,MS59005,Nevada,5913.305869,No,Extended,Bachelor,2011-01-23,Employed,M,43676,Suburban,Single,76,19.0,7,0.0,3,Personal Auto,Personal L3,Offer1,Agent,364.8,,,A,1
1505,1505,KN57002,Arizona,9015.915395,No,Extended,Bachelor,2011-01-23,Unemployed,M,0,Suburban,Single,130,32.0,38,0.0,4,Corporate Auto,Corporate L2,Offer1,Agent,936.0,SUV,Small,A,1
1506,1506,EV15014,California,7194.233091,No,Basic,Bachelor,2011-01-25,Unemployed,M,0,Suburban,Single,71,22.0,0,0.0,2,Personal Auto,Personal L3,Offer1,Branch,599.375099,,,,1
1507,1507,MX93069,Oregon,5073.282126,Yes,Extended,Doctor,2011-01-30,Employed,M,57709,Suburban,Married,125,10.0,26,0.0,1,Personal Auto,Personal L3,Offer2,Branch,600.0,SUV,Medsize,,1
1508,1508,DD97473,Oregon,2160.920387,No,Basic,High School or Below,2011-01-11,Unemployed,F,0,Suburban,Single,62,4.0,49,1.0,1,Personal Auto,Personal L3,Offer1,Agent,439.001718,Four-Door Car,Medsize,,1
1509,1509,NT59303,Oregon,10115.44622,No,Premium,College,2011-01-17,Employed,F,63528,Suburban,Divorced,256,15.0,23,0.0,1,Personal Auto,Personal L3,Offer2,Agent,1228.8,Luxury Car,Large,A,1
1510,1510,RN78170,Arizona,8159.136579,No,Basic,College,2011-01-15,Employed,F,40589,Suburban,Divorced,69,23.0,68,0.0,2,Corporate Auto,Corporate L3,Offer4,Branch,331.2,Four-Door Car,Medsize,,1
1511,1511,HP42153,Washington,2351.878675,No,Basic,High School or Below,2011-01-29,Medical Leave,F,12928,Suburban,Single,64,12.0,74,0.0,1,Personal Auto,Personal L3,Offer1,Agent,307.2,,,A,1
1512,1512,JL93248,Oregon,7296.535053,No,Basic,High School or Below,2011-02-12,Disabled,F,18884,Suburban,Divorced,64,21.0,90,0.0,2,Personal Auto,Personal L3,Offer1,Branch,307.2,Four-Door Car,Small,A,2
1513,1513,ML93326,Washington,4475.424592,No,Basic,College,2011-02-27,Employed,F,84903,Urban,Married,111,7.0,63,0.0,1,Personal Auto,Personal L1,Offer1,Agent,497.126827,SUV,Medsize,A,2
1514,1514,RX25695,Arizona,22721.24078,No,Extended,Bachelor,2011-02-18,Employed,M,26900,Suburban,Married,97,7.0,21,1.0,2,Personal Auto,Personal L3,Offer4,Call Center,465.6,,,,2
